original_satellite_id,location_id,latitude,longitude,timestamp,variable_name,raw_value,calibrated_value,unit,confidence_interval_lower,confidence_interval_upper,calibration_model,model_performance_score,calibration_date,calibration_operator,ground_truth_points,validation_rmse,validation_r2,satellite_platform,atmospheric_conditions,water_vapor_content,aerosol_optical_depth
9308,LOC_8586,47.415321834535106,9.885353935824261,2021-01-02 08:00:00,chlorophyll_index,6.288508437517451,6.457704052650446,index,5.811933647385402,7.103474457915492,Neural Network,0.7799297635177236,2021-01-02 16:00:00,CALIBRO_AGENT,13,0.4541629107034585,0.9132553976054438,Sentinel-2B,Moderate Cloud,2.85143618608572,0.14307109259328754
6480,LOC_5089,46.51444107385535,9.958117074476771,2021-01-02 14:00:00,chlorophyll_index,9.006027138550834,8.581864901140909,index,7.723678411026818,9.440051391255,Gradient Boosting,0.8715574542776893,2021-01-02 07:00:00,Dr. Fischer,26,0.13466479786104174,0.7810747911780529,Sentinel-3B,Heavy Cloud,0.6195473001885485,0.16129629067366863
1552,LOC_7084,47.19956335916031,10.011041827723874,2021-01-02 03:00:00,turbidity_index,8.857228032602668,7.576853467306453,index,6.8191681205758075,8.3345388140371,Gradient Boosting,0.9411466618013752,2021-01-02 02:00:00,Dr. Fischer,42,0.7170680256385191,0.801868641772166,Sentinel-2A,Light Cloud,0.6642458930236737,0.09001273411082585
6351,LOC_6109,47.00442824883262,9.706733919362465,2021-01-02 22:00:00,turbidity_index,7.4969166400970435,7.241990069133658,index,6.517791062220293,7.966189076047025,Linear Regression,0.8783611811857365,2021-01-02 23:00:00,CALIBRO_AGENT,29,0.6957011903075094,0.7017275683096533,Landsat-9,Moderate Cloud,2.6257147130672487,0.053274882526041886
1977,LOC_6408,47.4493640209009,10.034410607133816,2021-01-02 21:00:00,turbidity_index,5.8708896604607235,5.120827253345343,index,4.608744528010809,5.632909978679878,Neural Network,0.7958145675144594,2021-01-02 10:00:00,Dr. Wagner,45,0.7726688460280138,0.7141434722121416,Sentinel-3B,Clear,2.133977814681007,0.2413893662594403
78,LOC_1907,47.63510053882712,10.12165104561793,2021-01-02 08:00:00,turbidity_index,3.030364184241364,3.0655033996745367,index,2.7589530597070833,3.3720537396419905,Random Forest,0.8884446642479336,2021-01-02 11:00:00,Dr. Fischer,47,0.33175536265015027,0.7428727363567033,Sentinel-2A,Clear,2.3568319512201774,0.09168458379322834
2457,LOC_6139,47.11647959501061,9.859577257325851,2021-01-02 22:00:00,surface_temperature,6.8523924100820155,7.1294102224979765,°C,6.416469200248179,7.842351244747775,Neural Network,0.9159342517756237,2021-01-02 22:00:00,Dr. Wagner,19,0.7297032158708512,0.7467013134044631,Landsat-9,Light Cloud,1.7917961119593024,0.11074343462857285
8174,LOC_5262,48.214718850661086,10.361400337402943,2021-01-02 00:00:00,surface_temperature,3.4747292633560654,3.4412514510960652,°C,3.0971263059864587,3.7853765962056722,Linear Regression,0.8595114349306905,2021-01-02 03:00:00,CALIBRO_AGENT,40,0.5217348169369873,0.8476430668204895,Sentinel-2A,Moderate Cloud,0.823558341427431,0.2068748563488852
6664,LOC_6930,47.54472962724798,9.435555642257778,2021-01-02 00:00:00,surface_temperature,1.030990366705049,1.0464409201509732,°C,0.941796828135876,1.1510850121660707,Gradient Boosting,0.8142240135545484,2021-01-02 16:00:00,CALIBRO_AGENT,20,0.18301422676254414,0.921192295641311,Sentinel-2B,Light Cloud,0.6731449048951478,0.12562565559793215
8560,LOC_3698,47.33929327058438,9.910556907345802,2021-01-02 12:00:00,surface_temperature,2.794811614821882,2.5366447875207343,°C,2.282980308768661,2.790309266272808,Linear Regression,0.7871977667681144,2021-01-02 08:00:00,CALIBRO_AGENT,12,0.18612150584171067,0.7078358339051084,Sentinel-2B,Moderate Cloud,1.0878238034748076,0.23821571462686608
9199,LOC_5373,48.122588750753124,9.594287023720034,2021-01-02 15:00:00,surface_temperature,0.4960548692145501,0.4714927795464489,°C,0.424343501591804,0.5186420575010938,Neural Network,0.92165796861378,2021-01-02 08:00:00,CALIBRO_AGENT,35,0.1401132085991533,0.8701275848222245,Sentinel-2B,Moderate Cloud,2.8376198412785696,0.20956103615862243
2,LOC_9686,47.47145628176468,10.015820434390019,2021-01-05 15:00:00,chlorophyll_index,7.717879789595182,6.891562084952767,index,6.20240587645749,7.580718293448045,Gradient Boosting,0.9410835393693727,2021-01-05 19:00:00,CALIBRO_AGENT,40,0.17233038568560302,0.7075924958425537,Sentinel-3B,Heavy Cloud,0.7837300622980965,0.23107345411643954
2615,LOC_9525,47.40119032306403,10.523798694404569,2021-01-05 23:00:00,chlorophyll_index,1.4830415980632652,1.7711310222288665,index,1.5940179200059799,1.9482441244517534,Gradient Boosting,0.8204908294006611,2021-01-05 20:00:00,Dr. Fischer,43,0.13253386435150805,0.9454087810349782,Sentinel-3A,Clear,1.7261825985076438,0.08757894566748813
2686,LOC_4688,47.776762118204154,9.079238494320014,2021-01-05 02:00:00,chlorophyll_index,0.6465690213326456,0.6722033792714328,index,0.6049830413442896,0.7394237171985761,Gradient Boosting,0.750716463693529,2021-01-05 20:00:00,Dr. Wagner,42,0.7860399973724495,0.7650057153061669,Landsat-8,Light Cloud,2.054326321904105,0.26962092757795664
