original_satellite_id,location_id,latitude,longitude,timestamp,variable_name,raw_value,calibrated_value,unit,confidence_interval_lower,confidence_interval_upper,calibration_model,model_performance_score,calibration_date,calibration_operator,ground_truth_points,validation_rmse,validation_r2,satellite_platform,atmospheric_conditions,water_vapor_content,aerosol_optical_depth
4691,LOC_1399,46.846249818322825,9.56284246935446,2024-01-03 14:00:00,chlorophyll_index,4.21395546431125,3.8631803253154193,index,3.4768622927838773,4.249498357846962,Neural Network,0.8791340823073603,2024-01-03 07:00:00,Dr. Fischer,14,0.7182487070976632,0.8977604336425802,Sentinel-2B,Moderate Cloud,2.559812904031973,0.24282668522172662
1284,LOC_6866,47.668084494369886,9.93611988087504,2024-01-03 18:00:00,chlorophyll_index,2.7294206130008454,3.043693154274196,index,2.739323838846776,3.348062469701616,Linear Regression,0.7744133298336769,2024-01-03 01:00:00,CALIBRO_AGENT,47,0.19332859313096024,0.9105149737164328,Sentinel-3A,Clear,0.5215879742588168,0.16458676025752006
4680,LOC_9213,48.048736089736785,10.802556992700731,2024-01-03 10:00:00,chlorophyll_index,9.354712053176412,10.666620383934383,index,9.599958345540944,11.733282422327822,Gradient Boosting,0.873929816187264,2024-01-03 02:00:00,CALIBRO_AGENT,19,0.5619889566335395,0.8350934266571859,Sentinel-3B,Clear,2.0747574849914514,0.2608003208046608
4079,LOC_9804,47.88668734216121,10.279800954801397,2024-01-03 23:00:00,chlorophyll_index,5.7864887867489045,6.768846960063727,index,6.091962264057354,7.445731656070101,Neural Network,0.7734243700197965,2024-01-03 21:00:00,CALIBRO_AGENT,46,0.15888907844838895,0.9219537743250449,Sentinel-2A,Clear,1.1839076554611325,0.14705064529128947
2583,LOC_6822,47.488452337652845,10.304612053327777,2024-01-03 06:00:00,chlorophyll_index,0.81732416602416,0.7232368448592805,index,0.6509131603733525,0.7955605293452086,Random Forest,0.8781578823857621,2024-01-03 23:00:00,Dr. Fischer,28,0.6215199402093381,0.7477400534234245,Landsat-9,Moderate Cloud,1.433949712607557,0.28648207517002333
9741,LOC_8720,47.34570935652042,9.86145839589677,2024-01-03 22:00:00,chlorophyll_index,3.5986988968956535,2.9839013873074736,index,2.6855112485767263,3.2822915260382213,Linear Regression,0.9239430724885334,2024-01-03 16:00:00,Dr. Wagner,43,0.7563136764345556,0.942816506462629,Landsat-9,Clear,2.6399243586110046,0.24572352468700143
1991,LOC_2662,47.8907877584864,9.294898161811693,2024-01-03 22:00:00,turbidity_index,6.286172705681824,6.557170857543835,index,5.901453771789452,7.212887943298219,Linear Regression,0.7897847108716921,2024-01-03 20:00:00,CALIBRO_AGENT,50,0.7314083154908613,0.916278088072032,Sentinel-3A,Light Cloud,0.5470405974287522,0.25585207167830626
3205,LOC_4040,47.37766030686499,9.657467563689838,2024-01-03 23:00:00,turbidity_index,7.61627608402617,8.21260692958145,index,7.3913462366233045,9.033867622539596,Random Forest,0.8572662339299626,2024-01-03 08:00:00,Dr. Fischer,28,0.34469954292857186,0.7936074611164264,Sentinel-3A,Clear,0.8812077457374047,0.05381685559879511
4320,LOC_6586,48.44293637193552,10.181609199576762,2024-01-03 22:00:00,surface_temperature,6.210901581715,6.531244652972698,°C,5.878120187675428,7.184369118269968,Neural Network,0.7557477020158252,2024-01-03 01:00:00,CALIBRO_AGENT,21,0.17276459030080307,0.8587911206233702,Landsat-8,Heavy Cloud,0.8546282081810279,0.19834874505705485
4469,LOC_9523,47.08716525862788,10.143908387627533,2024-01-03 15:00:00,surface_temperature,0.8088203859086681,0.9035515346418577,°C,0.8131963811776719,0.9939066881060435,Linear Regression,0.8722521448008094,2024-01-03 22:00:00,Dr. Wagner,12,0.43128863413224516,0.9048364288698352,Sentinel-3A,Heavy Cloud,1.4137140339071195,0.2899755589347488
