location_id,latitude,longitude,timestamp,variable_name,value,unit,data_source,confidence_score,harmonization_method,harmonization_date,harmonization_operator,validation_status,cross_reference_id,metadata_version
LOC_8732,47.51050837386696,9.532671119566425,2020-01-01 07:00:00,chlorophyll_a,7.475782697003875,µg/L,LfU-RP,0.9474498561837519,Format Standardization,2020-01-01 11:00:00,Dr. Schmidt,Under Review,REF_89061,v2.7
LOC_1262,47.487728568772056,9.425115789948878,2020-01-01 21:00:00,chlorophyll_a,2.35566765041492,µg/L,LfU-BY,0.802830476097969,Quality Filtering,2020-01-01 03:00:00,HOMOGEN_AGENT,Validated,REF_34732,v1.3
LOC_9817,46.773807020004824,10.088096971461068,2020-01-01 15:00:00,chlorophyll_a,0.8799998527128462,µg/L,LfU-HE,0.898286442031661,Spatial Interpolation,2020-01-01 07:00:00,Dr. Schmidt,Pending,REF_27547,v2.6
LOC_9344,48.17365315774992,10.01655546224673,2020-01-01 15:00:00,chlorophyll_a,3.5838395984129514,µg/L,LfU,0.8422249723433496,Quality Filtering,2020-01-01 07:00:00,Dr. Müller,Validated,REF_53017,v3.2
LOC_8894,46.85303994188792,9.54034171909766,2020-01-01 22:00:00,turbidity,2.3024866088385796,NTU,LUBW,0.9452600577851065,Spatial Interpolation,2020-01-01 16:00:00,Dr. Müller,Under Review,REF_73012,v2.2
LOC_3979,46.93933358573848,8.828040509570975,2020-01-01 16:00:00,turbidity,7.0299850134963195,NTU,LfU-RP,0.9438559882462401,Quality Filtering,2020-01-01 11:00:00,Dr. Schmidt,Under Review,REF_53320,v2.6
LOC_5017,46.604294996726196,9.028669595235437,2020-01-01 03:00:00,turbidity,7.303149556270064,NTU,LfU-RP,0.8515511632744368,Quality Filtering,2020-01-01 13:00:00,HOMOGEN_AGENT,Under Review,REF_17910,v1.9
LOC_1353,47.31268476156711,9.177950737622243,2020-01-01 13:00:00,turbidity,8.080751062390805,NTU,LfU-BW,0.8570356305159816,Quality Filtering,2020-01-02 00:00:00,HOMOGEN_AGENT,Pending,REF_60245,v3.8
LOC_6477,47.26428509818654,10.192493596186896,2020-01-01 04:00:00,turbidity,8.908088511733146,NTU,LUBW,0.765425845351115,Temporal Alignment,2020-01-01 05:00:00,Dr. Müller,Under Review,REF_25765,v2.0
LOC_6871,46.556338913778866,10.560362788504312,2020-01-01 10:00:00,dissolved_oxygen,7.513937503841993,mg/L,LfU,0.8916162730148567,Quality Filtering,2020-01-01 08:00:00,Dr. Müller,Pending,REF_89522,v3.3
LOC_1685,48.71901350525214,9.642910610008057,2020-01-01 08:00:00,dissolved_oxygen,8.261541273361718,mg/L,LfU,0.9685073599603735,Format Standardization,2020-01-01 09:00:00,HOMOGEN_AGENT,Pending,REF_42026,v2.7
LOC_1215,47.146200565259775,10.062683100922497,2020-01-01 12:00:00,dissolved_oxygen,4.099155833258997,mg/L,LfU-RP,0.823504541025808,Temporal Alignment,2020-01-01 02:00:00,Dr. Müller,Under Review,REF_97271,v2.9
LOC_7706,47.04221634383012,10.274693951722988,2020-01-01 08:00:00,ph,2.3780930429702134,pH units,LfU,0.9333519641118632,Format Standardization,2020-01-01 19:00:00,HOMOGEN_AGENT,Under Review,REF_14154,v1.4
LOC_4374,47.85831666444599,9.652679493608366,2020-01-01 18:00:00,ph,0.9301533984391976,pH units,LfU-RP,0.8994002913531336,Temporal Alignment,2020-01-01 14:00:00,HOMOGEN_AGENT,Under Review,REF_20526,v3.5
LOC_1641,46.97288488562296,9.983578399513942,2020-01-01 21:00:00,ph,0.942082797784416,pH units,LfU-BW,0.8806541044755894,Spatial Interpolation,2020-01-01 23:00:00,Dr. Müller,Pending,REF_48004,v2.6
LOC_8583,47.86509652182763,9.998295740648473,2020-01-01 03:00:00,ph,7.9307728642346245,pH units,UBA,0.9631590666054951,Spatial Interpolation,2020-01-01 22:00:00,Dr. Müller,Under Review,REF_79628,v1.0
LOC_6130,47.87086964191713,9.12195196449235,2020-01-01 15:00:00,ph,4.142067455551211,pH units,UBA,0.8594506787168673,Spatial Interpolation,2020-01-01 21:00:00,Dr. Schmidt,Under Review,REF_64463,v3.7
LOC_4096,47.7678499931587,9.81570587448772,2020-01-01 08:00:00,ph,7.8024972845623655,pH units,UBA,0.914733263231829,Spatial Interpolation,2020-01-01 19:00:00,HOMOGEN_AGENT,Pending,REF_49361,v1.4
LOC_4801,47.525244907933214,9.158772736665677,2020-01-01 00:00:00,ph,0.2696602939332769,pH units,LfU-BY,0.877776343217606,Temporal Alignment,2020-01-01 12:00:00,Dr. Schmidt,Under Review,REF_98391,v3.7
LOC_7236,47.42720500147556,9.426852046269936,2020-01-01 21:00:00,ph,8.554887079074307,pH units,LfU-RP,0.8244821188242136,Temporal Alignment,2020-01-01 14:00:00,Dr. Müller,Validated,REF_37667,v2.5
LOC_7509,48.27355476313288,8.642199604464498,2020-01-01 23:00:00,temperature,3.910527353425135,°C,UBA,0.8313105632073594,Format Standardization,2020-01-01 15:00:00,Dr. Schmidt,Pending,REF_67152,v2.6
LOC_2300,47.97907814064686,9.692111322050357,2020-01-01 00:00:00,temperature,3.3608708326278545,°C,LUBW,0.9261383985084136,Quality Filtering,2020-01-01 22:00:00,Dr. Müller,Pending,REF_99329,v1.0
LOC_4258,48.2576227853863,11.026598144011468,2020-01-01 13:00:00,temperature,0.5269941500827102,°C,LfU-BY,0.9738260649082368,Quality Filtering,2020-01-01 20:00:00,HOMOGEN_AGENT,Under Review,REF_77819,v3.1
LOC_9297,47.74250883263045,10.314837851759386,2020-01-01 01:00:00,temperature,2.187684049563821,°C,LfU-BW,0.8079216319359122,Spatial Interpolation,2020-01-01 05:00:00,HOMOGEN_AGENT,Under Review,REF_31032,v3.3
LOC_5724,47.38380342822428,9.933668320336947,2020-01-01 11:00:00,temperature,5.839759028759663,°C,LfU-HE,0.7922225328464995,Format Standardization,2020-01-02 00:00:00,HOMOGEN_AGENT,Pending,REF_57948,v3.7
LOC_9704,47.371239406900045,9.45595500074091,2020-01-03 22:00:00,chlorophyll_a,3.0983869034923472,µg/L,LfU-BY,0.948011865961309,Spatial Interpolation,2020-01-03 19:00:00,HOMOGEN_AGENT,Pending,REF_38520,v3.6
LOC_2494,47.261211831611234,10.111564861755328,2020-01-03 00:00:00,chlorophyll_a,9.376055855107829,µg/L,UBA,0.9691125419079007,Temporal Alignment,2020-01-03 19:00:00,Dr. Schmidt,Under Review,REF_49946,v2.0
LOC_3745,47.49139491927145,10.687019565072593,2020-01-03 09:00:00,chlorophyll_a,7.584685821396484,µg/L,LfU-BW,0.7663912156531181,Format Standardization,2020-01-03 10:00:00,Dr. Schmidt,Validated,REF_11366,v2.7
LOC_2880,47.42493587438091,10.321962300409648,2020-01-03 16:00:00,chlorophyll_a,8.695730649520042,µg/L,UBA,0.8856038600599597,Format Standardization,2020-01-03 14:00:00,Dr. Schmidt,Pending,REF_83181,v1.7
LOC_1699,46.67354481453826,9.569082730163954,2020-01-03 20:00:00,chlorophyll_a,3.880518325576942,µg/L,LfU-RP,0.8157428385993167,Temporal Alignment,2020-01-03 10:00:00,Dr. Müller,Pending,REF_88900,v3.6
LOC_6980,47.51652812116377,10.01013532737562,2020-01-03 15:00:00,chlorophyll_a,8.262311946637759,µg/L,UBA,0.774574846303532,Spatial Interpolation,2020-01-03 14:00:00,HOMOGEN_AGENT,Under Review,REF_18039,v1.1
LOC_8925,46.987279740042915,9.685360183530106,2020-01-03 05:00:00,turbidity,0.34291905655620536,NTU,UBA,0.9130387766032133,Temporal Alignment,2020-01-03 02:00:00,Dr. Müller,Validated,REF_91763,v1.9
LOC_1139,47.64242896931075,9.67159936442319,2020-01-03 15:00:00,turbidity,2.8393422363671537,NTU,LfU,0.7835183330503263,Format Standardization,2020-01-03 03:00:00,Dr. Müller,Under Review,REF_85094,v3.3
LOC_5002,47.41332639035222,9.509895931800454,2020-01-03 14:00:00,turbidity,7.57310677901807,NTU,LfU,0.9255156581476913,Format Standardization,2020-01-03 08:00:00,Dr. Schmidt,Pending,REF_47725,v2.6
LOC_2950,47.54105078489058,10.614052352217437,2020-01-03 02:00:00,turbidity,7.386891445082581,NTU,LfU-BW,0.7963121325207254,Temporal Alignment,2020-01-03 18:00:00,Dr. Müller,Validated,REF_88270,v2.8
LOC_6400,47.23817735576184,10.160252392661985,2020-01-03 12:00:00,turbidity,4.803361229441686,NTU,LfU,0.7760238816219326,Spatial Interpolation,2020-01-03 09:00:00,Dr. Schmidt,Pending,REF_56140,v1.5
LOC_6677,48.416030856255134,9.85972884962889,2020-01-03 03:00:00,dissolved_oxygen,5.671406105575838,mg/L,UBA,0.8404428808145441,Quality Filtering,2020-01-03 16:00:00,Dr. Müller,Under Review,REF_63287,v3.6
LOC_6017,48.285593025560004,9.78766075668127,2020-01-03 22:00:00,dissolved_oxygen,7.909375340650493,mg/L,UBA,0.9073549441002545,Spatial Interpolation,2020-01-03 21:00:00,HOMOGEN_AGENT,Pending,REF_51255,v3.8
LOC_1897,46.51467380789552,9.452752726967407,2020-01-03 11:00:00,dissolved_oxygen,2.574405246243273,mg/L,UBA,0.934719904191569,Quality Filtering,2020-01-03 23:00:00,HOMOGEN_AGENT,Pending,REF_38094,v1.4
LOC_3250,47.602733992174414,10.660765714940124,2020-01-03 02:00:00,dissolved_oxygen,1.1236972975406376,mg/L,LfU-BW,0.8673978401551589,Spatial Interpolation,2020-01-04 00:00:00,HOMOGEN_AGENT,Under Review,REF_87776,v2.9
LOC_1782,47.551037652612195,10.045287790281357,2020-01-03 07:00:00,dissolved_oxygen,8.56585126267325,mg/L,LfU-RP,0.8619561761306419,Temporal Alignment,2020-01-03 21:00:00,HOMOGEN_AGENT,Pending,REF_16558,v1.3
